N,Treatment_,Diversity,Treatment,Treatment_1_,biocontr,Host_diversity,Pot,Plant,Plant_N,Aphid_Number,Aphid_Number_ln,Plant_weight,Aphid_load_ln,Aphid_load,Aphid_load_1,Aphid,Garlic,Predator,Garlic_weight,Garlic_weight_ln
154,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,37,barley,154,9,2.197224577,0.034,5.578619332,264.7058824,264.71,1,1,1,0.456,-0.785262469
155,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,37,wheat,155,26,3.258096538,0.054,6.17686777,481.4814815,481.48,1,1,1,0.456,-0.785262469
156,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,37,rye,156,14,2.63905733,0.034,6.020452084,411.7647059,411.76,1,1,1,0.456,-0.785262469
157,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,38,barley,157,15,2.708050201,0.039,5.952243834,384.6153846,384.62,1,1,1,0.406,-0.901402119
158,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,38,wheat,158,25,3.218875825,0.058,6.066188093,431.0344828,431.03,1,1,1,0.406,-0.901402119
159,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,38,rye,159,1,0.1,0.031,3.473768075,32.25806452,32.26,1,1,1,0.406,-0.901402119
160,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,39,barley,160,15,2.708050201,0.038,5.97821932,394.7368421,394.74,1,1,1,0.342,-1.072944542
161,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,39,wheat,161,2,0.693147181,0.03,4.199705078,66.66666667,66.67,1,1,1,0.342,-1.072944542
162,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,39,rye,162,4,1.386294361,0.033,4.797542079,121.2121212,121.21,1,1,1,0.342,-1.072944542
163,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,40,barley,163,6,1.791759469,0.031,5.265527544,193.5483871,193.55,1,1,1,0.391,-0.939047719
164,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,40,wheat,164,16,2.772588722,0.047,5.830196399,340.4255319,340.43,1,1,1,0.391,-0.939047719
165,poli__aphid_ladybeard_garlic,poli,poli_ladybeard_garlic,plg,3,3,40,rye,165,11,2.397895273,0.034,5.779290027,323.5294118,323.53,1,1,1,0.391,-0.939047719
